UIDClient,UIDStoreLocation,Gender,DateJoined,DaysSinceJoined,MembershipType,MembershipLevel,Age,UVTans,SunlessTans,UpgradeRevenue,RetailRevenue
597,1,0,3/13/10,1694,2,0,38,189,4,56,76.01
17873,1,0,10/3/09,1855,2,0,48,0,26,25,171.32
26441,1,0,3/18/07,2785,2,1,76,265,58,15,190.23
31132,1,0,3/18/07,2785,2,0,40,327,18,0,399.58
31382,1,0,4/24/12,921,2,0,20,90,0,8,66.99
44204,1,0,6/22/07,2689,2,0,20,162,17,0,323.16
50652,1,0,5/25/08,2351,2,0,52,2,1,0,9.54
81049,1,0,3/19/09,2053,2,4,40,34,2,0,242.84
98231,1,0,6/24/10,1591,2,0,63,11,0,0,59.45
9020,2,0,8/29/11,1160,2,1,21,306,0,0,200.66
10081,2,0,2/11/04,3916,2,0,28,40,0,26,116.35
18228,2,0,2/9/06,3187,2,1,39,232,4,24,36.14
24371,2,0,12/5/06,2888,2,3,25,32,0,0,50.28
24572,2,0,12/24/02,4330,2,0,58,138,5,0,360.36
35256,2,0,5/22/12,893,2,0,57,33,0,0,40.19
35502,2,0,4/2/10,1674,2,0,58,61,12,0,101.38
37885,2,1,2/25/11,1345,2,0,36,28,0,0,126.05
42185,2,0,4/8/12,937,2,4,48,58,1,0,204.02
42865,2,0,4/21/03,4212,2,0,33,74,1,0,443.62
45289,2,0,2/25/02,4632,2,1,35,35,62,0,223.9
47989,2,0,12/26/09,1771,2,0,33,5,34,0,75.29
48885,2,0,4/14/04,3853,2,4,26,172,86,11,333.48
57198,2,0,5/18/11,1263,2,0,53,114,0,0,1319.55
62280,2,0,3/5/12,971,2,3,25,62,0,0,95.35
71555,2,1,2/11/09,2089,2,0,22,63,10,0,167.38
73192,2,1,4/6/12,939,2,0,19,64,0,0,48.89
81452,2,1,5/29/10,1617,2,0,55,12,28,0,153.08
83530,2,0,7/6/05,3405,2,0,24,31,4,0,168.98
86046,2,0,4/27/05,3475,2,0,23,85,29,0,39
91156,2,0,7/17/04,3759,2,4,61,211,0,0,379.64
98368,2,0,3/28/02,4601,2,1,65,105,1,56,270.66
100635,2,0,9/29/04,3685,2,4,32,79,26,30,597.74
1634,3,0,11/18/04,3635,2,2,23,57,0,0,163.82
1667,3,1,4/22/06,3115,2,1,57,21,0,0,50.89
7430,3,0,7/29/09,1921,2,3,47,45,0,0,226.74
8738,3,0,2/15/11,1355,2,1,35,122,0,65,271.92
15807,3,1,11/25/01,4724,2,0,68,282,2,8,186.54
22043,3,0,7/3/04,3773,2,1,59,10,2,5,37
26875,3,0,6/19/09,1961,2,1,55,10,1,20,119.28
28072,3,0,5/28/11,1253,2,1,51,40,0,55,302.16
32300,3,0,5/5/05,3467,2,2,56,107,0,182,212.15
36997,3,0,6/15/01,4887,2,0,53,36,3,0,0.88
38225,3,0,6/12/04,3794,2,1,35,188,0,21,402.27
39534,3,0,2/13/06,3183,2,4,44,157,0,52,112.47
40266,3,0,3/24/08,2413,2,1,27,149,7,215,273.64
41785,3,0,3/22/07,2781,2,1,56,111,6,53,152.97
43160,3,0,8/22/05,3358,2,0,36,14,0,0,70.94
44992,3,0,2/21/04,3906,2,3,63,56,0,18,71.71
45996,3,0,10/21/05,3298,2,1,47,116,0,10,175.84
49125,3,0,11/19/04,3634,2,1,38,93,0,35,132
55116,3,0,6/15/01,4887,2,1,56,12,12,48,74.43
58142,3,0,3/19/07,2784,2,4,53,55,2,5,358.23
62310,3,1,2/6/11,1364,2,1,51,99,0,0,30.38
62875,3,0,2/8/08,2458,2,0,53,17,0,0,22.53
